2/9/2017 | 11/42/45 | Igrac Ghost | Komanda: /fly
2/9/2017 | 11/43/13 | Igrac Ghost | Komanda: /fly
2/9/2017 | 11/43/25 | Igrac Ghost | Komanda: /rudnik
2/9/2017 | 11/43/30 | Igrac Ghost | Komanda: /pduznost
2/9/2017 | 11/43/31 | Igrac Ghost | Komanda: /rudnik
2/9/2017 | 12/20/10 | Igrac Ghost | Komanda: /port
2/9/2017 | 12/20/13 | Igrac Ghost | Komanda: /fly
2/9/2017 | 12/21/0 | Igrac Ghost | Komanda: /fly
2/9/2017 | 12/21/21 | Igrac Ghost | Komanda: /uptime
2/9/2017 | 12/21/26 | Igrac Ghost | Komanda: /uptime
2/9/2017 | 12/21/27 | Igrac Ghost | Komanda: /uptime
2/9/2017 | 12/21/28 | Igrac Ghost | Komanda: /uptime
2/9/2017 | 12/21/28 | Igrac Ghost | Komanda: /uptime
2/9/2017 | 12/21/28 | Igrac Ghost | Komanda: /uptime
2/9/2017 | 12/41/38 | Igrac Ghost | Komanda: /port
2/9/2017 | 12/41/41 | Igrac Ghost | Komanda: /fly
2/9/2017 | 12/42/9 | Igrac Ghost | Komanda: /setvw 0
2/9/2017 | 12/42/11 | Igrac Ghost | Komanda: /setvw 0 0
2/9/2017 | 12/43/15 | Igrac Ghost | Komanda: /fly
2/9/2017 | 14/1/17 | Igrac Ghost | Komanda: /PORT
2/9/2017 | 14/1/20 | Igrac Ghost | Komanda: /FLY
2/9/2017 | 14/1/40 | Igrac Ghost | Komanda: /fly
2/9/2017 | 14/1/42 | Igrac Ghost | Komanda: /veh 560 0 0
2/9/2017 | 14/1/55 | Igrac Ghost | Komanda: /granica
2/9/2017 | 14/2/25 | Igrac Ghost | Komanda: /GRANICA
2/9/2017 | 14/2/26 | Igrac Ghost | Komanda: /GRANICA
2/9/2017 | 14/2/32 | Igrac Ghost | Komanda: /UNFREEZE 0
2/9/2017 | 14/2/43 | Igrac Ghost | Komanda: /GRANICA
2/9/2017 | 14/3/3 | Igrac Ghost | Komanda: /GRANICA
2/9/2017 | 14/3/20 | Igrac Ghost | Komanda: /GRANICA
2/9/2017 | 14/4/8 | Igrac Ghost | Komanda: /GOTOPos 1777.5055 694.5122 15.7767 0
2/9/2017 | 14/4/32 | Igrac Ghost | Komanda: /GOTOPOS 1795.3057 692.4173 15.7174 0
2/9/2017 | 14/4/54 | Igrac Ghost | Komanda: /gotopos 1788.3013 669.0517 17.2679 0
2/9/2017 | 14/5/35 | Igrac Ghost | Komanda: /gotopos 1777.20203 673.14563 17.03171 0
2/9/2017 | 14/5/40 | Igrac Ghost | Komanda: /GRANICA
2/9/2017 | 15/37/46 | Igrac Ghost | Komanda: /port
2/9/2017 | 15/37/52 | Igrac Ghost | Komanda: /fly
2/9/2017 | 15/38/5 | Igrac Ghost | Komanda: /fly
2/9/2017 | 15/45/6 | Igrac Ghost | Komanda: /gotopos 2781.198242 2709.499511 -31.019399 0
2/9/2017 | 15/45/7 | Igrac Ghost | Komanda: /gotopos 2781.198242 2709.499511 -31.019399 0
2/9/2017 | 15/45/8 | Igrac Ghost | Komanda: /fly
2/9/2017 | 15/45/33 | Igrac Ghost | Komanda: /gotopos 2783.369384 2712.007080 -28.795700 0
2/9/2017 | 15/45/35 | Igrac Ghost | Komanda: /fly
2/9/2017 | 15/51/16 | Igrac Ghost | Komanda: /gotopos else if(dialogid == KUPOVINA_PEKARA)
	{
		if(!response) return true;
	2/9/2017 | 15/51/18 | Igrac Ghost | Komanda: /port
2/9/2017 | 15/51/22 | Igrac Ghost | Komanda: /gotopos 1795.3057,692.4173,15.7174 /0
2/9/2017 | 15/51/24 | Igrac Ghost | Komanda: /port
2/9/2017 | 15/51/27 | Igrac Ghost | Komanda: /fly
2/9/2017 | 15/51/35 | Igrac Ghost | Komanda: /fly
2/9/2017 | 16/7/47 | Igrac Ghost | Komanda: /PORT
2/9/2017 | 16/8/24 | Igrac Ghost | Komanda: /port
2/9/2017 | 16/9/28 | Igrac Ghost | Komanda: /pekara
2/9/2017 | 16/9/31 | Igrac Ghost | Komanda: /pekara
2/9/2017 | 16/10/5 | Igrac Ghost | Komanda: /port
2/9/2017 | 16/10/14 | Igrac Ghost | Komanda: /KUPI
2/9/2017 | 16/10/18 | Igrac Ghost | Komanda: /KUPI
2/9/2017 | 16/10/25 | Igrac Ghost | Komanda: /KUPI
